"","project","language","article","access","agent","granularity","date","views"
"140","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-17,1791
"141","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-18,1865
"142","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-19,1849
"143","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-20,1678
"144","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-21,1383
"145","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-22,1531
"146","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-23,1667
"147","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-24,1708
"148","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-25,1771
"149","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-26,1564
"150","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-27,1612
"151","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-28,1570
"152","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-29,1668
"153","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-11-30,1859
"154","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-01,1740
"155","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-02,1744
"156","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-03,1870
"157","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-04,1623
"158","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-05,1302
"159","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-06,1644
"160","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-07,1802
"161","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-08,1809
"162","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-09,1963
"163","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-10,1992
"164","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-11,1742
"165","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-12,1397
"166","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-13,1550
"167","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-14,2026
"168","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-15,1812
"169","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-16,1873
"170","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-17,1651
"171","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-18,1421
"172","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-19,1293
"173","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-20,1312
"174","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-21,3061
"175","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-22,1170
"176","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-23,1122
"177","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-24,1089
"178","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-25,2210
"179","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-26,2700
"180","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-27,1605
"181","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-28,1635
"182","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-29,1681
"183","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-30,1473
"184","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2015-12-31,1289
"185","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-01,1382
"186","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-02,2856
"187","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-03,2572
"188","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-04,2459
"189","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-05,2236
"190","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-06,2154
"191","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-07,2573
"192","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-08,2264
"193","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-09,1717
"194","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-10,1875
"195","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-11,1980
"196","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-12,1791
"197","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-13,2025
"198","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-14,1878
"199","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-15,1648
"200","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-16,1547
"201","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-17,1578
"202","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-18,1595
"203","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-19,1972
"204","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-20,2021
"205","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-21,1983
"206","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-22,1679
"207","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-23,1397
"208","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-24,1615
"209","wikipedia","en","Kashmir_conflict","all-access","all-agents","daily",2016-01-25,1899
