"","project","language","article","access","agent","granularity","date","views"
"149","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-26,14
"150","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-27,17
"151","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-28,27
"152","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-29,17
"153","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-11-30,23
"154","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-01,31
"155","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-02,24
"156","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-03,20
"157","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-04,16
"158","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-05,13
"159","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-06,16
"160","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-07,19
"161","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-08,26
"162","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-09,19
"163","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-10,13
"164","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-11,14
"165","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-12,22
"166","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-13,15
"167","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-14,18
"168","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-15,19
"169","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-16,19
"170","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-17,32
"171","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-18,12
"172","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-19,15
"173","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-20,15
"174","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-21,9
"175","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-22,20
"176","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-23,21
"177","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-24,14
"178","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-25,10
"179","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-26,16
"180","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-27,11
"181","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-28,23
"182","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-29,22
"183","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-30,23
"184","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2015-12-31,7
"185","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-01,18
"186","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-02,21
"187","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-03,15
"188","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-04,13
"189","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-05,26
"190","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-06,18
"191","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-07,39
"192","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-08,26
"193","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-09,18
"194","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-10,23
"195","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-11,18
"196","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-12,21
"197","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-13,17
"198","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-14,12
"199","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-15,18
"200","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-16,19
"201","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-17,11
"202","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-18,23
"203","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-19,34
"204","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-20,18
"205","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-21,30
"206","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-22,16
"207","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-23,9
"208","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-24,17
"209","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-25,18
"210","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-26,24
"211","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-27,27
"212","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-28,20
"213","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-29,29
"214","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-30,34
"215","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-01-31,26
"216","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-02-01,25
"217","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-02-02,12
"218","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-02-03,19
"219","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-02-04,24
"220","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-02-05,23
"221","wikipedia","hi","Kashmir conflict","all-access","all-agents","daily",2016-02-06,25
