,project,article,granularity,access,agent,views,date
213,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-08-02
214,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,10,2018-08-03
215,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,21,2018-08-04
216,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-08-05
217,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,19,2018-08-06
218,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,17,2018-08-07
219,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,7,2018-08-08
220,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-08-09
221,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,5,2018-08-10
222,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-08-11
223,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,16,2018-08-12
224,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-08-13
225,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,10,2018-08-14
226,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,34,2018-08-15
227,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-08-16
228,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,6,2018-08-17
229,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,19,2018-08-18
230,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-08-19
231,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-08-20
232,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-08-21
233,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,6,2018-08-22
234,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-08-23
235,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-08-24
236,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-08-25
237,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,7,2018-08-26
238,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,10,2018-08-27
239,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-08-28
240,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,17,2018-08-29
241,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-08-30
242,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-08-31
243,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-09-01
244,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-09-02
245,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-09-03
246,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,16,2018-09-04
247,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-09-05
248,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,17,2018-09-06
249,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,19,2018-09-07
250,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-09-08
251,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,20,2018-09-09
252,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,17,2018-09-10
253,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,16,2018-09-11
254,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-09-12
255,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,3,2018-09-13
256,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-09-14
257,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-09-15
258,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-09-16
259,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,22,2018-09-17
260,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-09-18
261,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-09-19
262,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,8,2018-09-20
263,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,9,2018-09-21
264,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-09-22
265,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,31,2018-09-23
266,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-09-24
267,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,20,2018-09-25
268,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,16,2018-09-26
269,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,26,2018-09-27
270,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-09-28
271,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,12,2018-09-29
272,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,23,2018-09-30
273,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,26,2018-10-01
274,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-10-02
275,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,22,2018-10-03
276,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,33,2018-10-04
277,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,39,2018-10-05
278,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,19,2018-10-06
279,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,19,2018-10-07
280,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,17,2018-10-08
281,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,61,2018-10-09
282,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,18,2018-10-10
283,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-10-11
284,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,15,2018-10-12
285,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,11,2018-10-13
286,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,17,2018-10-14
287,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,16,2018-10-15
288,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-10-16
289,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-10-17
290,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,24,2018-10-18
291,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,14,2018-10-19
292,ur.wikipedia,Kashmir conflict,daily,all-access,all-agents,13,2018-10-20
